地铁,公交
海狮,海豚
工藤新一,福尔摩斯
飞蛾,蝴蝶
牛奶,豆浆
湿巾,纸巾
豆浆,牛奶
橘子,橙子
论文,作文
香辣牛肉面,红烧牛肉面
满天星,薰衣草
努尔哈赤,成吉思汗
词不达意,语无伦次
沐浴盐,沐浴露
李连杰,甄子丹
周立波,郭德纲
水泡,气泡
饭碗,饭桶
四喜丸子,鱼香肉丝
前男友,男朋友
黛玉葬花,贵妃醉酒
隐形眼镜,近视眼镜
酸辣粉,土豆粉
箱子,盒子
蜜蜂,蝴蝶
手帕,纸巾
空调,风扇
邓超孙俪,谢娜张杰
乐嘉,孟非
娘,妈妈
图书店,图书馆
生菜,白菜
同桌,同学
碰碰车,过山车
井底之蛙,鼠目寸光
月季,玫瑰
水煮鱼,酸菜鱼
薯片,饼干
九阴白骨爪,降龙十八掌
涮肉,烤肉
太子,皇帝
喜服,婚纱
爱情睡醒了,夏家三千金
包子,饺子
鸡毛,鹅毛
乐嘉,孟飞
老天爷,老佛爷
肉夹馍,汉堡包
宫锁珠帘,宫锁心玉
座机,手机
中性笔,钢笔
电梯,楼梯
青梅竹马,两小无猜
提子,葡萄
增高鞋,高跟鞋
跨年,新年
水桶,水盆
福尔摩斯-柯南,福尔摩斯-工藤新
红楼梦,甄?传
晴川,若曦
琵琶,吉他
电动车,自行车
真彩,晨光
床单,被子
订婚,结婚
闪婚,裸婚
中秋节,端午节
许仙,董永
蛋糕,面包
贴画,壁纸
苏州,杭州
人妖,太监
神话,童话
麻花,油条
以纯,森马
倾世皇妃,美人心计
大白兔奶糖,金丝猴
光棍节,情人节
金丝猴,大白兔
古龙,金庸
饺子,包子
李湘,谢娜
东京,首尔
榴莲,菠萝蜜
零花钱,生活费
四面楚歌,十面埋伏
抱枕,枕头
全力以赴,勇往直前
宋小宝,小沈阳
狄仁杰,包青天
皂角粉,洗衣粉
水桶,脸盆
镜子,玻璃
鸭蛋,鸡蛋
高富帅,富二代
捕快,警察
植物,动物
眉毛,胡子
黄蓉,赵敏
芥末,辣椒
刘亦菲,刘诗诗
鲜橙多,果粒橙
扩音器,麦克风
木糖醇,口香糖
ipad,电脑
编剧,作家
最炫民族风,江南style
龙凤胎,双胞胎
魔法师,魔术师
苦茶,绿茶
王心凌,张韶涵
韩红,那英
自行车,脚踏车
直发,卷发
碧螺春,铁观音
西瓜,哈密瓜
护发素,洗发露
保镖,保安
罗密欧与朱丽叶,梁山伯与祝英台
天龙八部,神雕侠侣
